[0, 0, 0] [14, 120, 187] [179, 255, 51]
[5, 140, 76] [14, 120, 187] [9, 255, 191]
[0, 127, 127] [14, 120, 187] [5, 255, 255]
[10, 191, 163] [14, 120, 187] [13, 255, 255]
[27, 191, 163] [14, 120, 187] [30, 255, 255]
[37, 191, 163] [14, 120, 187] [72, 255, 255]
[90, 191, 163] [14, 120, 187] [122, 255, 255]
[135, 191, 163] [14, 120, 187] [150, 255, 255]
[0, 0, 76] [14, 120, 187] [179, 25, 190]
[0, 0, 191] [14, 120, 187] [179, 25, 255]
[10, 115, 127] [14, 120, 187] [15, 165, 255]
[0, 0, 0] [13, 129, 183] [179, 255, 51]
[5, 140, 76] [13, 129, 183] [9, 255, 191]
[0, 127, 127] [13, 129, 183] [5, 255, 255]
[10, 191, 163] [13, 129, 183] [13, 255, 255]
[27, 191, 163] [13, 129, 183] [30, 255, 255]
[37, 191, 163] [13, 129, 183] [72, 255, 255]
[90, 191, 163] [13, 129, 183] [122, 255, 255]
[135, 191, 163] [13, 129, 183] [150, 255, 255]
[0, 0, 76] [13, 129, 183] [179, 25, 190]
[0, 0, 191] [13, 129, 183] [179, 25, 255]
[10, 115, 127] [13, 129, 183] [15, 165, 255]
[0, 0, 0] [13, 136, 179] [179, 255, 51]
[5, 140, 76] [13, 136, 179] [9, 255, 191]
[0, 127, 127] [13, 136, 179] [5, 255, 255]
[10, 191, 163] [13, 136, 179] [13, 255, 255]
[27, 191, 163] [13, 136, 179] [30, 255, 255]
[37, 191, 163] [13, 136, 179] [72, 255, 255]
[90, 191, 163] [13, 136, 179] [122, 255, 255]
[135, 191, 163] [13, 136, 179] [150, 255, 255]
[0, 0, 76] [13, 136, 179] [179, 25, 190]
[0, 0, 191] [13, 136, 179] [179, 25, 255]
[10, 115, 127] [13, 136, 179] [15, 165, 255]
[0, 0, 0] [13, 139, 176] [179, 255, 51]
[5, 140, 76] [13, 139, 176] [9, 255, 191]
[0, 127, 127] [13, 139, 176] [5, 255, 255]
[10, 191, 163] [13, 139, 176] [13, 255, 255]
[27, 191, 163] [13, 139, 176] [30, 255, 255]
[37, 191, 163] [13, 139, 176] [72, 255, 255]
[90, 191, 163] [13, 139, 176] [122, 255, 255]
[135, 191, 163] [13, 139, 176] [150, 255, 255]
[0, 0, 76] [13, 139, 176] [179, 25, 190]
[0, 0, 191] [13, 139, 176] [179, 25, 255]
[10, 115, 127] [13, 139, 176] [15, 165, 255]
[0, 0, 0] [13, 140, 175] [179, 255, 51]
[5, 140, 76] [13, 140, 175] [9, 255, 191]
[0, 127, 127] [13, 140, 175] [5, 255, 255]
[10, 191, 163] [13, 140, 175] [13, 255, 255]
[27, 191, 163] [13, 140, 175] [30, 255, 255]
[37, 191, 163] [13, 140, 175] [72, 255, 255]
[90, 191, 163] [13, 140, 175] [122, 255, 255]
[135, 191, 163] [13, 140, 175] [150, 255, 255]
[0, 0, 76] [13, 140, 175] [179, 25, 190]
[0, 0, 191] [13, 140, 175] [179, 25, 255]
